track_id,artist_id
1,2748
2,912
3,1640
4,2149
5,4694
6,1638
7,2246
8,3641
9,3746
10,3415
11,5052
12,1710
13,3701
14,5084
15,3006
16,99
17,1793
18,3014
19,3948
20,1296
21,2353
22,2504
23,2177
24,1911
25,3239
26,2406
27,3555
28,5052
29,704
30,633
31,4461
32,2977
33,4377
34,200
35,552
36,2500
36,3561
37,550
38,4687
39,2775
40,3899
41,1921
42,4635
43,1929
44,1346
45,4324
46,160
47,4916
48,4549
49,5211
50,2638
51,2935
52,9
53,4040
54,379
55,1975
56,2588
57,1571
58,2053
59,3567
60,4011
61,4487
62,4420
63,2572
64,1479
65,3807
66,1866
67,1016
68,4997
69,4058
70,613
71,1696
72,2678
73,290
74,880
74,3606
75,2776
76,1373
77,4162
78,3763
78,4762
79,1977
80,735
81,1359
82,2321
83,1447
84,2219
85,2731
86,3452
87,2262
88,3650
89,3205
90,316
90,84
91,1783
92,2048
93,3828
94,1608
95,3975
96,4503
97,3589
98,2929
99,4239
100,4422
101,3331
102,4127
103,2228
104,2309
105,1238
105,455
106,1071
107,1915
108,4083
109,1577
110,1514
111,1401
112,4647
113,1219
114,465
115,4053
116,296
117,1614
118,1187
119,4707
120,1336
121,4866
122,3837
123,4994
124,4822
125,1618
126,4336
127,1473
128,4146
129,486
130,1393
131,4090
132,1213
133,3604
134,2827
135,1780
136,927
137,5202
138,5085
139,2855
140,598
141,4122
142,893
143,4460
144,2376
145,762
146,578
147,613
148,3737
149,835
150,2929
151,93
152,2053
153,2596
154,772
155,1410
156,4420
157,5072
158,1807
159,3319
160,4838
161,2271
162,4048
163,2748
164,2479
165,1928
166,2879
167,3674
168,2374
169,3871
170,4796
171,5223
172,2323
173,3473
174,4076
175,1980
176,4558
177,4384
178,3299
179,706
180,1664
181,3092
182,1490
183,2480
184,4162
185,3385
186,2104
187,2903
188,2983
189,2556
190,2596
191,1212
192,1989
193,4814
194,1305
195,4338
196,2188
197,528
198,96
199,5240
200,1742
201,1093
202,4402
203,2749
204,3833
205,966
205,4435
206,2930
207,358
208,1311
209,4735
210,1775
211,2669
212,5260
213,1822
214,589
215,4537
215,2790
216,4117
217,3682
218,3728
219,5272
220,3058
220,10
220,1338
221,1546
222,1498
223,2365
224,3620
225,4657
226,2571
227,4502
228,2839
229,183
229,183
230,5016
231,511
232,2852
232,5015
233,2830
234,3809
235,3804
236,3005
237,2285
238,770
239,1455
240,4504
241,319
242,653
243,5043
244,2748
245,2678
246,2575
247,2494
248,3108
249,1455
250,3144
250,3596
251,1605
252,3388
253,4791
254,3287
255,4366
256,2073
257,5179
258,5131
259,3316
260,3603
261,3204
262,613
263,2474
264,2522
265,260
266,1514
267,2504
268,1655
268,5264
269,4678
270,4206
271,616
272,3674
273,3511
274,3580
275,3299
276,1345
277,4728
277,1462
278,3403
279,2633
280,3419
281,5011
282,1124
283,1470
284,3158
285,3730
286,2101
287,98
287,1066
287,3174
287,669
288,886
289,2446
290,4181
290,202
291,2851
292,112
293,1350
294,1236
294,5118
295,299
296,3878
297,3046
298,1823
299,885
300,348
301,4575
302,4776
303,4275
304,1858
305,729
306,2677
307,2026
307,1499
307,1420
308,1628
309,2137
310,2999
311,395
312,4736
313,1452
314,1351
315,3599
316,5245
317,647
318,186
319,912
320,3635
321,291
322,85
323,1772
324,902
325,5099
326,1854
327,226
328,2272
329,5143
330,1982
331,2571
332,2686
333,1386
334,1220
334,365
335,3004
336,2375
336,2037
337,4500
338,2447
339,3843
340,2190
341,546
342,2713
343,3815
344,2398
345,1949
346,755
347,1418
348,1092
349,4752
350,4223
351,2914
352,5117
353,1357
353,555
354,1545
355,3279
356,3599
357,4568
358,4747
359,322
360,4377
360,4377
361,3143
362,2060
363,3855
364,959
365,5099
365,2591
366,1446
367,187
368,5130
369,1954
370,3618
371,1840
372,3637
373,3705
374,5077
375,837
375,2531
376,660
377,1961
378,4311
379,4479
380,1422
381,2692
382,3172
383,5070
384,2577
384,4802
385,1780
386,1693
387,638
388,3293
389,5260
390,2812
391,3611
392,4913
393,3435
394,786
395,4931
396,3159
397,2777
398,5129
399,4702
400,1163
401,349
402,483
403,1045
404,340
405,1246
406,4051
407,96
408,2285
409,527
410,1840
411,951
412,3176
413,2488
414,367
415,938
416,716
417,3456
418,2978
419,1232
420,2027
421,866
422,2070
423,3517
424,1840
425,325
426,3883
427,716
427,1540
427,2733
427,3999
428,1604
429,322
430,4899
431,4312
432,4889
433,4382
434,571
435,3900
436,351
436,2091
437,4313
438,5205
439,1247
440,2660
441,4181
441,202
442,236
443,556
444,866
445,100
446,3940
447,1673
448,1239
449,328
450,251
451,3015
452,3208
453,1353
454,2756
455,3960
456,1645
457,3853
458,2521
458,2113
459,4145
459,374
460,4419
461,4613
462,1313
463,1307
464,958
465,1656
466,3807
467,2763
468,1229
469,4438
470,362
471,3713
472,4973
473,3535
474,4317
475,1335
476,1394
477,4135
478,5028
479,4514
480,2129
481,792
482,1285
483,3144
484,2966
485,2810
486,2862
487,1721
488,750
489,429
490,3257
491,5262
492,1500
493,3314
494,108
495,3219
496,4037
497,3767
498,2572
499,3562
500,2361
501,2937
502,3736
503,1051
504,3961
505,590
506,1823
507,1115
508,1333
509,760
510,3949
511,2763
512,2022
513,2572
514,262
515,3160
516,1266
517,401
517,2471
518,2622
519,5054
520,1059
521,4032
522,2462
523,483
524,2292
525,362
526,500
527,4852
528,589
529,4281
530,4770
531,1814
532,3436
533,3637
534,3009
535,16
536,340
537,1187
538,650
539,1796
540,4006
541,4343
542,361
543,1833
544,3394
545,2221
546,3043
547,2970
547,4178
548,3960
549,3787
550,948
551,3327
552,4782
552,1779
552,1037
553,1731
554,553
555,1486
556,237
556,496
557,5131
558,784
559,4044
560,3554
561,1485
562,1360
563,2923
564,3306
565,4659
566,2044
566,4202
567,4014
568,4468
569,2613
570,4679
571,3518
572,4404
573,4996
574,3495
575,661
576,779
577,3203
578,52
579,3430
579,113
580,69
581,2376
582,2654
583,292
584,4946
585,3479
586,4100
587,1657
588,4302
589,3368
590,393
591,4049
592,746
